acronym,name,major,college,prerequisite_text,enrollment_cnt,A_cnt,A_percentage,cardinality
ITAL 103,"Advanced Communication:Travel, Tourism, and Mobility",Italian - ITAL,letters_and_science,Italian 6 or equivalent.,21,19,0.9047619047619048,103
ITAL 119B,Italian Culture in Translation,Italian - ITAL,letters_and_science,Italian 1-6 or equivalent,72,59,0.8194444444444444,119
ITAL 179X,Italian History in Fiction and Film,Italian - ITAL,letters_and_science,"",677,252,0.3722304283604136,179
JAPAN 3,First-Year Japanese III,Japanese - JAPAN,letters_and_science,"Japanese 2 with grade C or better, or equivalent",1301,782,0.601076095311299,3
JAPAN 6,Second-Year Japanese,Japanese - JAPAN,letters_and_science,"Japanese 5 with grade C or better, or equivalent",668,419,0.6272455089820359,6
JAPAN 120C,Third-Year Japanese III,Japanese - JAPAN,letters_and_science,"Japanese 120B with grade C or better, or equivalent",322,203,0.6304347826086957,120
JAPAN 161,Ethnic and Social Diversity in Japan,Japanese - JAPAN,letters_and_science,"",61,47,0.7704918032786885,161
JAPAN 162,Representations of Sexuality in Modern Japan,Japanese - JAPAN,letters_and_science,Upper Division Standing.,744,345,0.4637096774193548,162
JAPAN 175B,Shinto Texts through the Ages,Japanese - JAPAN,letters_and_science,Upper division standing,53,22,0.41509433962264153,175
JAPAN 180MJ,Media and Japanese Society,Japanese - JAPAN,letters_and_science,Upper Division Standing,97,75,0.7731958762886598,180
JAPAN 180WL,Women's Literature in Japan,Japanese - JAPAN,letters_and_science,Upper Division Standing,29,27,0.9310344827586207,180
KOR 3,First Year Korean,Korean - KOR,letters_and_science,"Korean 1, 2.",290,214,0.7379310344827587,3
KOR 6,Second Year Korean,Korean - KOR,letters_and_science,"Korean 1, 2, 3, 4, 5.",119,90,0.7563025210084033,6
LATIN 3,Intermediate Latin,Latin - LATIN,letters_and_science,Latin 2 with a grade of C or better.,327,167,0.5107033639143731,3
LATIN 101,Introduction To Latin Poetry,Latin - LATIN,letters_and_science,Latin 100 with a grade of C or better.,117,89,0.7606837606837606,101
LATIN 114,Roman Comedy,Latin - LATIN,letters_and_science,Latin 102.,7,7,1,114
LATIN 199,Independent Studies In Latin.,Latin - LATIN,letters_and_science,Consent of instructor and department chair. upper-division standing; completion of 2 upper-division courses in Latin.,11,4,0.36363636363636365,199
LAIS 10,Introduction to the Latin American and Iberian World,Latin American and Iberian Studies - LAIS,letters_and_science,None,1887,1115,0.5908850026497086,10
LAIS 102,"Interdisciplinary Approaches to the Cultures, Languages, and Literatures ofLatin America and Iberia",Latin American and Iberian Studies - LAIS,letters_and_science,Upper-division standing.,459,244,0.5315904139433552,102
LAIS 145,Spanish for Healthcare,Latin American and Iberian Studies - LAIS,letters_and_science,Spanish 25 or Spanish 16B; and Spanish 100,5,5,1,145
LING W 3C,EMS:Academic English,Linguistics - LING,letters_and_science,Open to students who have a Ling 3C placement; or Linguistics 3B with a minimum grade of C.,218,169,0.7752293577981652,3
LING 3G,EMS: Advanced Graduate Writing for International Students,Linguistics - LING,letters_and_science,Graduate standing. Placement based on English Language Placement Examination scores.,241,240,0.995850622406639,3
LING 105,Predictive Modeling in Linguistics,Linguistics - LING,letters_and_science,Linguistics 102 and 104,19,12,0.631578947368421,105
LING 108,Introduction To Morphology,Linguistics - LING,letters_and_science,Linguistics 101 OR Linguistics 107.,748,402,0.5374331550802139,108
LING 115,Introduction to Historical Comparative Linguistics,Linguistics - LING,letters_and_science,Linguistics 107.,560,314,0.5607142857142857,115
LING 137,Introduction to First Language Acquisition,Linguistics - LING,letters_and_science,Linguistics 20.,842,445,0.5285035629453682,137
LING 140,English Grammar for Teachers,Linguistics - LING,letters_and_science,Consent of instructor.,315,212,0.6730158730158731,140
LING 146,Auditory Phonetics,Linguistics - LING,letters_and_science,Linguistics 106,260,190,0.7307692307692307,146
LING 149,Intercultural Communication,Linguistics - LING,letters_and_science,Any Linguistics or Communications course or consent of instructor.,495,226,0.45656565656565656,149
LING 191,Internship in Linguistics,Linguistics - LING,letters_and_science,Consent of instructor.,135,134,0.9925925925925926,191
LING 192,Community Partnerships in Linguistics,Linguistics - LING,letters_and_science,"",146,141,0.9657534246575342,192
MATRL 100C,Fundamentals of Structural Evolution,Materials - MATRL,engineering,Materials 100A and Materials 100B.,244,109,0.44672131147540983,100
MUS 35C,Piano Accompanying,Music - MUS,letters_and_science,"Music 33 (may be taken concurrently); or, Piano and Accompanying emphasis majors only; and, consent of instructor.",,,,35
MATH 101B,Mathematical Systems,Mathematics - MATH,letters_and_science,Math 101A with a minimum grade of C.,399,158,0.39598997493734334,101
MATH 104C,Advanced Topics in Numerical Analysis,Mathematics - MATH,letters_and_science,Math 104B with a minimum grade of C.,1170,703,0.6008547008547008,104
MATH CS 108B,Advanced Linear Algebra II,Mathematics - MATH,creative_studies,None.,142,142,1,108
MATH 108C,Matrix Analysis,Mathematics - MATH,letters_and_science,Math 108A with a minimum grade of C,199,104,0.5226130653266332,108
MATH 111C,Abstract Algebra,Mathematics - MATH,letters_and_science,Math 111B with a minimum grade of C.,408,227,0.5563725490196079,111
MATH 115B,Introduction to Number Theory,Mathematics - MATH,letters_and_science,Math 115A with a minimum grade of C.,266,143,0.5375939849624061,115
MATH CS 117,Introduction to Real Analysis,Mathematics - MATH,creative_studies,None.,120,120,1,117
MATH 118C,Introduction to Real Analysis,Mathematics - MATH,letters_and_science,Math 118B with a minimum grade of C.,539,255,0.47309833024118736,118
MATH CS 120FV,Special Topics in Mathematics - Game Theory,Mathematics (Creative Studies) - MATH CS,creative_studies,Consent of instructor.,19,19,1,120
MATH CS 120RT,Special Topics in Mathematics: Introduction to Representation Theory,Mathematics - MATH,creative_studies,Consent of instructor.,10,10,1,120
MATH 122B,Introduction to Theory of Complex Variables,Mathematics - MATH,letters_and_science,Math 122A with a minimum grade of C.,491,185,0.37678207739307534,122
MATH 137A,Graph and Network Theory,Mathematics - MATH,letters_and_science,"Mathematics 5A or 5AI or 4B or 4BI; and Math 8 with a grade of ""C"" or better.",479,197,0.4112734864300626,137
MATH 145,Introduction to Topology,Mathematics - MATH,letters_and_science,Math 8 with a B- or better. Either Math 108A or Math 117 with a minimum grade of C,728,303,0.41620879120879123,145
MATH 147A,Introductory Differential Geometry,Mathematics - MATH,letters_and_science,Math 5B or 5BI or 6A or 6AI with a minimum grade of C; and Math 108A or 117 with a minimum grade of C.,695,238,0.3424460431654676,147
MATH 182,History of Mathematics,Mathematics - MATH,letters_and_science,"Mathematics 8 with a grade of ""C"" or better.",414,278,0.6714975845410628,182
ARTHI 105P,Introduction to Medieval Art and Architecture,Art History - ARTHI,letters_and_science,"",246,107,0.4349593495934959,105
ARTHI 186E,Seminar in Fifteenth and Sixteenth Century Northern European Art,Mechanical Engineering - ME,letters_and_science,Upper-division standing.,45,36,0.8,186
ARTHI 186SR,Seminar in Architectural History,Art History - ARTHI,letters_and_science,Upper-division standing.,51,29,0.5686274509803921,186
ME 100,Professional Seminar,Mechanical Engineering - ME,engineering,Undergraduate standing.,647,612,0.9459041731066461,100
ME 102,Finite Elements Analysis of Heat Transfer and Fluid Flow with COMSOL,Mechanical Engineering - ME,engineering,ME 151C and ME 152B; or consent by instructor,17,11,0.6470588235294118,102
ME 104,Mechatronics,Mechanical Engineering - ME,engineering,ME 6; open to ME majors only.,1152,470,0.4079861111111111,104
ME 125AS,Special Topics: Introduction to Multiphase Flow,Mechanical Engineering - ME,engineering,Consent of instructor.,30,29,0.9666666666666667,125
ME 125BL,Special Topics: Radiative Transfer and Solar Energy,Mechanical Engineering - ME,engineering,Consent of instructor.,96,78,0.8125,125
ME 125IB,Special Topics: Failure- Why Defects Are Essential to Material Science,Mechanical Engineering - ME,engineering,Consent of instructor.,23,17,0.7391304347826086,125
ME 125PL,Special Topics in Mechanical Engineering: Wind and Tidal Extraction Over Large Scales,Mechanical Engineering - ME,engineering,Consent of instructor.,140,95,0.6785714285714286,125
ME 125RA,Special Topics in Mechanical Engineering: Radiative Energy Transfer,Mechanical Engineering - ME,engineering,Consent of instructor.,6,6,1,125
ME 125RS,Special Topics: Engineering Biomaterials,Mechanical Engineering - ME,engineering,Consent of instructor.,36,28,0.7777777777777778,125
ME 129,Manufacturing and Geometric Dimensioning and Tolerancing,Mechanical Engineering - ME,engineering,ME 127 or consent of instructor.,59,59,1,129
ME 141B,MEMS: Processing and Device Characterization,Mechanical Engineering - ME,engineering,"ME 141A, ME 163 (may be concurrent); or ECE 141A.",82,59,0.7195121951219512,141
ME 146,Molecular and Cellular Biomechanics,Mechanical Engineering - ME,engineering,"",82,39,0.47560975609756095,146
ME 151C,Thermosciences 3,Mechanical Engineering - ME,engineering,ME 151B and 152B. Open to ME majors only.,1135,450,0.3964757709251101,151
ME 153,Introduction to Mechanical Engineering Design,Mechanical Engineering - ME,engineering,ME 10 and 16; open to ME majors only.,1174,964,0.8211243611584327,153
ME 155A,Control System Design,Mechanical Engineering - ME,engineering,ME 17 with a minimum grade of C-; ME 163.,1135,503,0.4431718061674009,155
ME 155B,Control System Design,Mechanical Engineering - ME,engineering,ME 155A.,44,39,0.8863636363636364,155
ME 155C,Control Systems Laboratory,Mechanical Engineering - ME,engineering,ME 155A.,23,22,0.9565217391304348,155
ME 166,Advanced Strength of Materials,Mechanical Engineering - ME,engineering,ME 15.,141,72,0.5106382978723404,166
ME W 167,Structural Analysis,Mechanical Engineering - ME,engineering,ME 15,89,27,0.30337078651685395,167
ME 169,Nonlinear Phenomena,Mechanical Engineering - ME,engineering,Physics 105A or Physics 103; or ME 163 or upper-division standing in ECE.,106,55,0.5188679245283019,169
ME 189C,Capstone Mechanical Engineering Design Project,Mechanical Engineering - ME,engineering,ME 189A and 189B,872,629,0.7213302752293578,189
MAT 80AS,Mediated Worlds/THEMAS Arts+Sciences Emphasis,Media Arts and Technology - MAT,letters_and_science,"",178,76,0.42696629213483145,80
MS 1C,Basic Leadership and Problem Solving,Military Science - MS,letters_and_science,none,274,270,0.9854014598540146,1
MS 2AC,Foundations of Leadership III,Military Science - MS,letters_and_science,none,199,197,0.9899497487437185,2
MS 6,Basic Military Science Field Study,Military Science - MS,letters_and_science,"",12,12,1,6
MS 133,Applied Leadership,Military Science - MS,letters_and_science,Military Science 132; junior standing.,188,187,0.9946808510638298,133
MS 143,Adaptive Leadership,Military Science - MS,letters_and_science,Military Science 142; senior standing.,169,159,0.9408284023668639,143
MUS 129,Advanced Percussion,Music - MUS,letters_and_science,Passing of percussion sophomore audition.,,,,129
MUS 135C,Piano Accompanying,Music - MUS,letters_and_science,"Music 33 (may be taken concurrently); or, Piano and Accompanying emphasis majors only; and, consent of instructor.",,,,135
MCDB 1A,Introductory Biology I,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,"Chemistry 1A-B-C with a grade of C- or better (Chem 1C may be taken concurrently), or a score of 4 or better on either the Advanced Placement Chemistry or Advanced Placement Biology exams.",50545,9988,0.19760609357997824,1
MCDB 15JS,SCIENCE/fiction,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,Freshmen/1st year Prebiology majors only.,61,55,0.9016393442622951,15
MCDB 26,Contemporary Nutrition,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,"",1020,200,0.19607843137254902,26
MCDB 92,Special Topics in Biology,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,"",348,323,0.9281609195402298,92
MCDB 108A,Biochemistry - Structure and Function of Macromolecules,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,"MCDB 1A, and EEMB 2 and MCDB 1B; and Chemistry 1A-B-C; and Chemistry 109A-B-C (Chem 109C may be taken concurrently). Completion of all listed prerequisites with a grade of C or better.",3657,819,0.2239540607054963,108
MCDB 108C,Biochemistry - Computational & Systems Biology,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,MCDB 108A-B with a grade of C or better or MCDB W 108A and MCDB 108B with a grade of C or better; Physics 6A-B-C with minimum grade of C (Physics 6C may be taken concurrently); Math 34A-B with a grade of C or better or Math 3A-B with a grade of C or better or Math 2A-B with a grade of C or better.,2074,857,0.41321118611378976,108
MCDB 109L,Laboratory in Biochemistry,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,MCDB 108A or MCDB W 108A; and MCDB 108B; and MCDB 1A-1B. Completion of all listed prerequisites with a grade of C or better.,501,356,0.7105788423153693,109
MCDB 111,Human Physiology,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,"MCDB 1A, and EEMB 2 and MCDB 1B with a grade of C or better.",4913,1483,0.30185222878078566,111
MCDB 118,Plant Development,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,"MCDB 1A, and EEMB 2 and MCDB 1B; and, MCDB 101A or EEMB 129. Completion of all listed prerequisites with a grade of C or better.",332,95,0.286144578313253,118
